,ENTITY_CD,YEAR,ASSESSMENT_NAME,ENTITY_NAME,SUBGROUP_NAME,MEAN_SCORE,ES,MS,EM,ST_NOTSURE,Gender_MEAN_SCORE,MEAN_SCORE_white,MEAN_SCORE_non_white,Subject,MEAN_SCORE_english_language_learners,MEAN_SCORE_non-english_language_learners,Female,post_covid,race_gap,ell_gap
0,1,2018,ELA5,NYC Public Schools,All Students,601.0,1,1,1,0.0,604.0,610.0,602.6,ELA,580.0,604.0,1,0,1,0
9261,1,2018,ELA3,NYC Public Schools,All Students,600.0,1,1,1,0.0,603.0,609.0,602.0,ELA,586.0,603.0,1,0,1,0
18522,1,2018,ELA7,NYC Public Schools,All Students,602.0,1,1,1,0.0,605.0,611.0,603.4,ELA,579.0,604.0,1,0,1,0
27783,1,2018,ELA8,NYC Public Schools,All Students,602.0,1,1,1,0.0,605.0,609.0,603.2,ELA,578.0,605.0,1,0,1,0
37044,1,2018,ELA6,NYC Public Schools,All Students,600.0,1,1,1,0.0,604.0,610.0,602.0,ELA,579.0,603.0,1,0,1,0
46305,1,2018,ELA4,NYC Public Schools,All Students,601.0,1,1,1,0.0,604.0,611.0,603.0,ELA,584.0,604.0,1,0,1,0
55566,1,2018,MATH8,NYC Public Schools,All Students,601.0,1,1,1,0.0,602.0,608.0,602.6,MATH,589.0,603.0,1,0,1,0
64827,1,2018,MATH7,NYC Public Schools,All Students,599.0,1,1,1,0.0,601.0,610.0,601.2,MATH,583.0,601.0,1,0,1,0
74088,1,2018,MATH5,NYC Public Schools,All Students,599.0,1,1,1,0.0,600.0,609.0,600.8,MATH,585.0,601.0,1,0,1,0
83349,1,2018,MATH3,NYC Public Schools,All Students,599.0,1,1,1,0.0,600.0,608.0,600.8,MATH,589.0,602.0,1,0,1,0
92610,1,2018,MATH6,NYC Public Schools,All Students,598.0,1,1,1,0.0,599.0,608.0,600.2,MATH,584.0,601.0,1,0,1,0
101871,1,2018,MATH4,NYC Public Schools,All Students,600.0,1,1,1,0.0,600.0,609.0,601.6,MATH,587.0,602.0,1,0,1,0
111132,1,2018,Science4,NYC Public Schools,All Students,81.0,1,1,1,0.0,81.0,609.3333333333334,601.9499999999999,SCIENCE,583.5833333333334,602.75,1,0,1,0
